LFQ	25	0	0	84	0	0	18	43	150	1123	810	1438	173	58	115	59	590	1488	1106	1441	928	258	597	966	1354	3033	3114	2180	6177	1885	3402	10187	8115	11020	12632	17353	16403	28294	29252	67387	66352	179036	508477	0
LFQ	26	0	0	0	0	0	10	67	172	1275	918	1258	111	58	143	55	655	1663	1100	1317	895	261	577	1001	1417	3196	3423	2191	5924	1999	3259	10905	8056	10478	13038	17434	17394	28113	29816	69715	66219	181745	500970	0
LFQ	27	0	0	0	0	0	13	72	181	1261	1115	1039	70	73	138	84	694	1740	992	1228	959	287	630	1032	1468	3514	3518	2310	5680	2063	3478	11325	8162	10328	13451	17048	18233	27493	29093	70893	64932	184366	497574	0
LFQ	28	0	0	0	0	0	18	64	214	1313	1291	896	43	92	172	100	862	1843	836	1229	959	304	671	1037	1538	3608	3739	2392	5329	2118	3523	12313	8234	9837	13919	16944	19812	27812	29297	72054	63200	186530	492097	0
LFQ	29	0	0	0	0	0	16	89	220	1406	1519	714	22	92	163	108	906	1892	715	1138	981	321	749	982	1522	3680	3855	2414	5096	2209	3640	12429	8404	9467	14247	17078	20993	27186	29844	73904	62275	187005	488697	0
LFQ	30	0	0	0	0	0	11	84	245	1393	1644	503	23	100	174	128	1085	1894	548	1107	960	332	763	1033	1523	3732	4011	2414	4779	2289	3593	13094	8480	8995	14746	16322	22267	26647	29739	74614	60901	188929	486586	0
LFQ	31	0	0	0	0	0	13	88	268	1406	1724	317	20	110	186	156	1114	1926	395	1186	913	378	786	1076	1595	3791	4206	2639	4578	2387	3603	13514	8360	8713	15460	16453	24031	26211	30573	76647	59647	187791	483131	0
LFQ	32	0	0	0	0	0	25	131	276	1404	1914	198	31	115	217	166	1163	1883	282	1145	943	400	835	1105	1673	3872	4167	2737	4336	2543	3574	14073	8517	8634	15678	16167	25617	25355	31379	78362	59573	189713	476877	0
LFQ	33	0	0	0	0	0	17	118	316	1366	1836	114	38	125	208	190	1286	1788	239	1150	963	399	898	1088	1680	3965	4185	2740	4236	2708	3695	14247	8601	8337	16480	15987	27263	24499	32075	79158	59550	189113	474096	0
LFQ	34	0	0	1	0	0	17	145	400	1334	1883	63	25	134	221	196	1379	1694	225	1185	952	447	907	1125	1706	4059	4153	2920	4217	2886	3721	14287	8559	8423	17196	15879	28876	24183	32661	79546	59721	190062	469074	0
LFQ	35	0	0	96	0	0	18	158	372	1242	1863	32	37	175	274	238	1469	1505	189	1134	900	475	954	1193	1765	4032	3951	2991	4119	3046	3842	14323	8605	8582	17470	15872	30681	23346	32815	79679	60079	190839	465734	0
LFQ	36	0	0	84	0	0	27	183	402	1266	1858	31	32	178	293	252	1587	1335	199	1209	945	490	932	1252	1943	4238	3620	3107	4165	3172	3981	14043	8638	8814	18442	15500	31994	22817	33564	76958	62972	191808	461380	0
LFQ	37	0	0	0	0	0	27	205	475	1346	1834	29	55	197	314	294	1731	1246	237	1189	1003	535	923	1278	2059	4166	3577	3214	4299	3471	4101	13802	8859	9003	18855	15369	33539	22783	34048	77551	63042	191702	456964	0
LFQ	38	0	0	0	0	0	21	226	540	1323	1836	26	57	205	363	321	1740	1119	289	1202	1021	580	971	1313	2190	4354	3340	3429	4394	3620	4263	13741	9240	9419	19904	15716	34843	23033	35456	79478	63236	197693	442450	0
LFQ	39	0	0	0	0	0	25	233	612	1313	1953	32	74	227	460	410	1804	1054	289	1275	1105	602	1071	1415	2361	4550	3164	3635	4530	3938	4426	13802	9676	9539	20825	15773	36561	23651	36573	80799	64300	198995	431471	0
LFQ	40	0	0	4	0	0	39	278	650	1317	1856	26	78	258	482	425	1809	830	328	1245	1064	680	1088	1490	2490	4711	2895	3746	4395	4218	4689	13712	9895	9642	21693	16524	37716	24024	37674	82006	65473	200107	422556	0
LFQ	41	0	0	0	0	0	38	277	633	1365	1804	41	98	289	551	494	1889	715	364	1282	1107	697	1148	1576	2682	4683	2653	3965	4468	4481	4812	13752	10047	10039	22310	16640	38839	24698	38881	82380	67286	199877	414834	0
LFQ	42	0	0	0	0	0	33	313	700	1295	1651	40	86	290	583	496	1857	600	392	1222	1106	949	1011	1695	2783	4748	2534	4139	4510	5011	4875	13213	10432	10290	23016	17211	39896	25191	40020	82480	66896	200570	409152	0
LFQ	43	0	0	43	0	0	41	325	828	1291	1653	48	84	319	668	548	1743	482	412	1249	1104	1018	975	1762	3021	4738	2227	4303	4508	5338	4994	12847	10920	10555	23554	17711	41343	25960	41367	82784	67834	200455	401774	0
LFQ	44	0	0	0	0	0	55	368	916	1377	1702	51	110	381	711	600	1702	435	431	1270	1142	1112	1080	1890	3308	4675	1951	4689	4455	5625	5292	12603	11087	10844	23959	18432	42545	27698	42531	83231	69288	198362	394468	0
LFQ	45	0	0	0	0	0	54	361	932	1343	1589	61	120	364	753	622	1599	347	445	1309	1148	1189	1047	1933	3458	4806	1872	4819	4484	6151	5500	12439	11452	11311	24385	19700	44392	28239	43577	82474	71278	197586	386805	0
LFQ	46	0	0	0	0	0	57	391	968	1293	1430	40	130	361	833	632	1538	328	473	1312	1134	1210	1100	1999	3362	4907	1569	5069	4645	6417	5594	12059	11939	11611	24651	20525	45180	29910	45571	73978	80653	195494	381113	0
LFQ	47	0	0	0	0	0	54	392	1024	1406	1398	53	165	408	928	662	1363	295	443	1369	1164	1337	1130	2065	3452	4874	1428	5333	4673	6929	5886	11647	12511	11960	24763	21697	47246	30817	46815	73946	82783	193529	373073	0
LFQ	48	0	0	0	0	0	83	524	1312	1902	1814	74	177	452	1070	813	1491	323	564	1496	1214	1414	1145	2268	3613	4797	1288	5700	4737	7386	6121	11459	12736	12338	24866	23301	49321	32211	48273	73308	83914	190701	364333	0
LFQ	49	0	0	30	0	0	49	390	1045	1470	1155	89	223	470	1216	786	1262	308	544	1436	1131	1633	1150	2467	3834	4924	1264	5963	4584	8041	6411	11604	13416	12778	25563	24598	52074	33735	49953	73427	85459	189287	354293	0
LFQ	50	0	0	0	0	0	53	400	1099	1512	1091	73	207	471	1108	798	1049	292	497	1474	1146	1717	1123	2442	3873	4665	1087	6207	4552	8445	6671	11059	13745	13193	25714	26289	54849	35360	52016	72232	87547	185895	347604	0
LFQ	51	0	0	0	0	0	77	426	1188	1585	1006	109	219	440	1174	746	931	271	487	1518	1124	1676	1118	2614	4088	4538	1070	6573	4617	8814	7031	10925	14416	13756	25523	27863	57734	37135	54180	72364	88678	182688	338380	0
LFQ	52	0	0	0	0	0	89	440	1146	1674	896	99	226	449	1275	821	786	288	566	1614	1122	1812	1255	2721	4203	3214	2253	6829	4593	9141	7059	10825	14865	14257	25527	30045	60677	38769	53755	73334	90732	179298	329911	0
LFQ	53	0	0	0	0	0	91	491	1289	1656	866	96	255	419	1342	829	762	302	573	1654	1146	1911	1322	2908	4290	2998	2284	7293	4572	9828	7519	10511	15692	14795	25731	32247	64358	40728	55643	73215	91565	176641	318206	0
LFQ	54	0	0	0	0	0	94	464	1278	1821	720	90	271	448	1434	855	683	273	559	1674	1095	1973	1306	2972	4411	2846	2296	7477	4388	10348	7825	10411	16029	15295	26159	34082	68590	42140	57877	72093	93996	171904	309329	0
LFQ	55	0	0	12	0	0	91	492	1381	1889	653	106	275	465	1373	772	603	274	606	1869	1166	2136	1381	3295	4476	2649	2370	7699	4416	10747	8144	10469	16810	15859	26640	36426	72588	44496	60013	71208	96282	166628	298241	0
LFQ	56	0	0	0	0	0	105	474	1380	1997	497	129	318	436	1547	774	513	298	617	1904	1096	2076	1344	3472	4084	2510	2324	8775	4367	10897	8427	10445	17395	16350	26563	38556	77514	46493	62101	70231	97511	162287	288637	0
LFQ	57	0	0	0	0	0	115	462	1424	1980	403	154	327	408	1514	719	472	265	621	1995	1005	2196	1380	3770	4136	2404	2352	9204	4507	11253	8872	10692	18045	16937	27232	40614	82517	49144	63936	68549	99694	157219	277382	0
LFQ	58	0	0	0	0	0	109	444	1393	1905	312	167	326	392	1616	632	426	246	625	2031	961	2168	1415	3854	3987	2135	2526	9461	4283	11504	9092	10569	18634	17590	27484	42850	88517	51745	66400	67580	102002	152357	265605	0
LFQ	59	0	0	0	0	0	122	454	1536	2065	254	173	401	418	1595	617	400	253	631	2156	974	2324	1399	4206	3864	2080	2571	10070	4257	11510	9853	10879	19373	18349	27895	45082	94592	53943	68987	66486	104621	145400	252962	0
LFQ	60	0	0	0	0	0	115	421	1631	2011	193	159	387	389	1576	645	430	270	705	2267	940	2355	1409	4060	3770	2200	2760	10448	4360	11586	10182	11234	19931	18848	28546	47461	101038	56597	72055	64404	107387	139585	239821	0
LFQ	61	0	0	0	0	0	149	411	1505	1912	104	224	435	410	1573	541	413	262	711	2332	925	2391	1450	4399	3624	2081	2722	10605	4416	11724	10439	11808	20371	19595	29283	49984	108252	59260	74977	62338	108997	133886	227120	0
LFQ	62	0	0	0	0	0	178	408	1572	1927	96	198	399	430	1580	522	353	323	743	2032	1227	2660	1471	3997	3931	2014	2908	10861	3548	11461	11532	12120	21132	20019	30177	52806	115555	61928	77660	60185	111753	127598	213763	0
LFQ	63	0	0	2	0	0	164	350	1683	1880	50	216	443	379	1586	479	415	344	763	2130	1165	2799	1471	4206	3671	1988	3052	11159	3642	11205	12217	12660	21693	20747	30832	54623	124104	65169	80694	57746	113314	120251	201169	0
LFQ	64	0	0	29	0	0	174	396	1785	1844	41	236	479	394	1529	425	397	304	789	2131	1126	2838	1474	4218	3738	2038	3310	11508	3633	10926	12752	13199	21870	21394	31784	57398	132917	67828	84109	55274	115369	112606	187576	0
LFQ	65	0	0	38	0	0	192	387	1793	1746	28	267	500	370	1576	433	455	314	715	2255	1140	2996	1576	4197	3658	2077	3361	12000	3708	10916	13316	13908	22411	22310	33325	60235	141251	71018	87099	53188	116956	104882	172606	0
LFQ	66	0	0	43	0	0	196	383	1841	1757	7	300	512	375	1455	379	470	298	847	2345	1172	3149	1541	4394	3559	2151	3632	12257	3739	10750	13808	14485	23309	22854	34078	63731	150708	74674	89646	49985	118542	97032	158114	0
LFQ	67	0	0	57	0	0	204	337	1953	1810	5	310	542	433	1476	369	485	332	829	2393	1152	3283	1589	3892	2989	3497	3886	12823	3824	10291	14713	15341	23765	23397	35578	66948	159859	77874	92592	47400	119569	88717	143274	0
LFQ	68	0	0	55	0	0	227	380	2047	1772	1	342	541	388	1467	330	524	330	906	2554	1220	3380	1583	3840	3008	3547	4132	13176	3915	10104	15261	16009	24329	24223	36987	70434	169872	80281	95709	44520	120240	80663	128843	0
LFQ	69	0	0	35	0	0	265	349	2132	1653	3	397	633	448	1444	341	531	312	909	2517	1188	3592	1638	3798	2942	3705	4123	13708	4137	9797	16098	16830	24728	25049	38642	73559	180422	84043	98514	41380	119316	72748	114525	0
LFQ	70	0	0	26	0	0	273	341	2153	1604	1	412	627	402	1388	259	579	327	902	2685	1207	3690	1518	3755	2864	3915	4455	13654	4353	9297	16826	17209	25129	25496	39937	77743	191258	86700	102018	38186	118332	65081	101129	0
LFQ	71	0	0	30	0	0	303	305	2241	1533	1	476	625	469	1306	283	627	323	952	2707	1211	3747	1567	3723	2954	4019	4606	13725	4336	9101	17364	17817	25784	26243	42217	80732	202468	90146	104480	35005	116616	56825	88157	0
LFQ	72	0	0	26	0	0	299	305	2440	1490	0	493	656	486	1288	267	636	347	1098	2959	1194	3992	1634	3464	3001	4114	4929	12798	6159	8650	17794	18529	26263	26969	43443	84728	214005	92679	107043	32202	113014	49191	75706	0
LFQ	73	0	0	180	0	0	327	315	2497	1475	0	506	680	454	1231	257	710	368	1105	3084	1236	4313	1591	3362	3061	4304	5389	12725	6550	8364	18979	19283	26726	27623	45166	89528	225050	95191	108341	29450	108659	42035	63322	0
LFQ	74	0	0	43	0	0	317	300	2743	1394	0	538	778	497	1201	215	735	343	1126	3120	1215	4459	1673	3219	3021	4396	5537	12936	6745	7931	19572	19495	27156	28673	46975	94304	236811	96980	109300	26305	104833	35454	52337	0
LFQ	75	0	0	16	0	0	260	225	2135	1120	0	493	704	427	892	206	619	317	1064	2789	1151	4330	1539	2864	2880	4292	5335	12042	6689	7068	19045	19322	26549	28376	47861	96247	256317	101294	111089	22331	101706	29446	42850	0
LFQ	76	0	0	198	0	0	275	231	2400	1075	0	497	604	444	956	203	669	363	1035	2991	1192	4131	1554	2655	2908	4343	5587	11887	7048	6618	19451	19282	26323	28523	48253	98197	273154	103663	111659	20257	94208	23543	34692	0
LFQ	77	0	0	23	0	0	288	222	2488	970	1	546	727	471	913	196	691	351	1101	2796	1176	4312	1478	2406	2928	4441	5785	12024	7148	6227	19931	19633	27097	28743	49524	101179	288321	105920	110478	16959	86973	18371	27345	0
LFQ	78	0	0	0	0	0	328	241	2681	1019	0	589	687	485	857	185	753	373	1159	3113	1228	4423	1562	2251	3057	4536	6148	11893	7394	6034	20424	19651	27446	29503	50593	105181	302048	107169	108194	14654	78690	13999	20744	0
LFQ	79	0	0	0	0	0	300	223	2671	858	1	620	663	496	861	182	723	380	1230	3138	1264	4704	1504	2160	3243	4833	6442	11995	7795	5562	21243	20049	28255	29941	51503	109070	315083	108397	105098	12380	69644	10258	15486	0
LFQ	80	0	0	0	0	0	323	251	2856	887	0	655	632	494	792	178	791	349	1230	3288	1292	4760	1431	2048	3404	4855	6847	11883	8095	5238	21791	20005	28558	30753	53254	113736	326922	108934	101421	10011	60791	7486	10909	0
LFQ	81	0	0	0	0	0	328	184	2785	795	0	689	705	526	743	164	854	401	1276	3257	1385	4892	1471	1868	3484	5030	7196	11768	8473	4933	22411	20438	29201	31355	54450	118058	340053	108408	96051	8316	51443	5089	7533	0
LFQ	82	0	0	0	0	0	326	178	2867	659	0	669	673	533	642	156	867	371	1282	3435	1478	5000	1397	1697	3711	5266	7661	11503	8861	4743	23153	20872	30021	31802	55856	124027	350571	107302	89550	6766	42377	3521	4842	0
LFQ	83	0	0	0	0	0	343	140	2863	629	0	700	630	501	578	165	843	400	1333	3479	1571	5097	1358	1577	3784	5354	7971	11304	9193	4288	23862	20817	30730	32867	57173	128075	362386	105871	82392	5180	34413	2185	3138	0
LFQ	84	0	0	0	0	0	334	146	2698	562	0	695	611	515	504	124	893	387	1307	3324	1652	5261	1247	1312	3849	5528	8263	11106	9624	4084	24196	20887	31411	33491	58400	131969	373821	104573	74764	4012	26689	1425	1911	0
LFQ	85	0	0	0	0	0	301	140	2861	482	2	702	606	517	442	137	902	437	1318	3570	1717	5491	1133	1242	4034	5752	8875	10812	10181	3885	24860	21186	31936	34303	59446	137893	381778	101099	66355	3021	20096	806	1095	0
LFQ	86	0	0	0	0	0	248	111	2608	427	0	685	527	462	383	120	823	369	1317	3372	1773	5254	1125	1090	4187	5998	9291	10548	10434	3627	25094	21642	32616	34611	60262	141241	391725	98232	58243	2146	14856	465	590	0
LFQ	87	0	0	0	0	0	78	65	1566	198	0	497	362	330	331	87	614	304	1088	2787	1574	5215	1024	973	4242	6088	9906	9954	10721	3322	25886	21699	33269	36157	61969	145024	399141	94572	50034	1573	10418	267	315	0
LFQ	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4086	984	836	4333	6334	10291	9776	11132	3229	26491	21957	34420	36768	62508	149411	406003	90454	41776	1079	7105	135	172	0
# Mismatches per cycle and quality. Use `grep ^MPC | cut -f 2-` to extract this part.
# Columns correspond to qualities, rows to cycles. First column is the cycle number, second
# is the number of N's and the rest is the number of mismatches
MPC	1	1524	0	0	0	0	0	0	0	84	0	0	288	0	8	0	0	0	37	15	2	47	0	0	6	0	0	18	23	6	83	1	37	3	278	105	0	421	0	1643	0	0	0	0
MPC	2	0	0	0	0	0	0	0	0	73	0	0	320	0	4	0	0	0	36	21	2	23	1	0	3	1	0	22	32	5	37	1	34	2	82	111	0	655	0	1495	0	0	0	0
MPC	3	0	0	0	0	0	0	0	0	31	94	0	175	38	4	3	1	1	9	24	14	10	0	1	4	6	1	21	14	12	11	10	38	7	61	68	0	534	86	1470	0	0	0	0
MPC	4	0	0	0	0	0	0	0	0	32	96	0	209	26	0	4	1	4	14	18	12	13	0	1	1	6	1	18	15	6	15	9	39	11	53	48	0	426	42	1494	0	0	0	0
MPC	5	0	0	0	0	0	0	1	0	31	100	0	187	31	1	2	0	5	6	17	10	16	0	2	2	13	1	25	18	9	9	10	33	6	50	53	0	353	34	1348	0	0	0	0
MPC	6	0	0	0	0	0	0	0	2	35	109	0	179	29	3	5	1	4	8	10	16	13	0	2	9	9	0	19	5	14	8	7	36	4	46	33	20	103	0	212	114	1343	0	0
MPC	7	0	0	0	0	0	0	1	0	26	92	0	198	31	2	2	0	7	4	21	13	7	0	2	3	16	0	18	11	23	4	5	36	2	32	49	28	94	0	187	116	1310	0	0
MPC	8	0	0	0	0	0	0	0	1	21	86	0	217	35	1	2	0	1	14	15	15	5	0	2	6	11	0	13	5	15	6	11	29	4	36	38	26	95	0	202	107	1202	0	0
MPC	9	5	0	0	0	0	0	1	1	32	103	0	198	31	1	2	2	8	10	21	10	15	1	2	2	8	0	14	9	25	5	9	33	5	34	22	22	91	0	201	98	1213	0	0
MPC	10	7	0	0	0	0	0	0	2	25	100	1	196	30	0	4	0	9	11	15	16	10	0	3	5	9	2	16	12	14	5	5	32	3	46	33	17	125	0	210	122	1207	0	0
MPC	11	5	0	0	0	0	0	2	5	35	98	1	174	30	2	2	1	1	16	13	12	11	1	3	5	3	9	18	8	22	5	5	13	23	27	37	21	22	66	61	156	81	283	884
MPC	12	0	0	0	0	0	0	1	3	25	100	1	207	30	1	1	1	5	11	17	13	12	0	2	4	6	3	17	10	26	3	6	11	16	27	37	20	23	68	47	160	93	293	876
MPC	13	112	0	0	0	0	0	3	3	27	126	3	240	42	0	0	0	3	17	17	17	16	1	2	3	4	9	14	5	20	3	11	12	20	15	43	23	21	73	55	156	125	303	838
MPC	14	0	0	0	0	0	0	2	2	24	104	8	228	30	1	3	0	2	12	14	13	11	0	4	1	3	9	26	5	24	2	4	8	14	32	38	17	19	67	67	146	103	323	839
MPC	15	0	0	0	0	0	0	3	4	20	114	4	216	31	2	2	1	1	11	9	15	11	1	4	3	4	11	15	8	20	0	11	18	19	32	40	21	18	59	52	143	105	329	763
MPC	16	0	0	0	0	0	0	3	0	29	101	2	218	38	0	1	1	2	9	2	32	8	1	2	4	1	10	16	14	29	6	9	15	22	36	18	44	26	50	53	141	109	330	742
MPC	17	0	0	0	0	0	0	2	7	34	135	10	235	39	1	2	1	6	8	0	35	17	1	2	4	7	11	17	7	23	4	7	16	22	27	28	38	22	69	53	124	110	309	739
MPC	18	0	0	0	0	0	0	5	4	41	117	10	246	28	1	1	1	8	13	3	20	10	2	6	3	7	10	12	11	28	3	15	15	27	27	23	40	28	57	50	135	131	300	726
MPC	19	0	0	0	0	0	0	4	10	29	121	12	194	28	1	5	3	5	15	7	30	14	1	5	8	11	8	20	7	20	2	8	21	21	31	31	47	30	63	57	142	140	295	730
MPC	20	6	0	0	0	0	0	2	3	34	112	22	182	33	1	0	0	1	12	3	31	14	1	7	6	2	11	8	5	16	2	14	19	19	31	30	42	20	56	68	140	130	293	752
MPC	21	8	0	0	0	0	0	5	5	18	114	25	162	22	1	0	1	8	11	5	24	13	0	3	1	7	8	6	5	20	2	6	13	13	36	30	32	22	39	63	126	114	248	834
MPC	22	0	0	0	0	0	0	3	5	27	122	37	138	16	0	0	2	3	14	6	21	6	0	2	5	7	14	15	4	21	1	12	18	19	17	18	24	19	45	48	123	118	251	785
MPC	23	1	0	0	0	0	0	5	8	20	148	59	229	31	1	1	1	8	9	7	18	12	0	9	2	3	10	5	7	22	1	4	13	13	17	33	29	39	61	64	104	114	250	804
MPC	24	71	0	0	0	0	0	6	17	23	169	78	185	24	1	2	2	6	16	6	20	10	1	2	3	3	10	12	6	20	1	10	14	18	20	19	40	33	50	47	132	87	255	789
MPC	25	83	0	0	0	0	0	6	14	21	182	76	181	14	3	1	0	11	14	6	14	6	1	5	4	6	15	9	4	15	1	8	19	14	21	30	37	29	60	58	130	99	281	805
MPC	26	0	0	0	0	0	0	3	15	26	191	78	164	14	4	1	2	6	13	9	13	12	1	7	3	7	15	12	6	20	4	5	17	19	19	37	29	31	54	59	120	107	252	754
MPC	27	0	0	0	0	0	0	5	15	31	167	109	130	6	1	1	4	7	16	10	9	12	2	3	2	5	21	12	8	25	2	12	18	22	26	23	43	31	44	55	95	98	283	690
MPC	28	0	0	0	0	0	0	5	26	42	238	109	94	3	1	3	4	12	18	7	14	10	1	6	3	4	15	10	6	19	3	3	29	16	19	22	36	36	43	52	116	110	296	741
MPC	29	0	0	0	0	0	0	7	19	39	230	168	98	1	2	3	6	7	18	7	12	15	3	8	3	6	14	8	7	13	4	8	28	12	12	22	34	46	52	57	125	92	286	765
MPC	30	0	0	0	0	0	0	8	20	35	255	183	73	2	1	2	7	17	18	5	12	17	1	7	5	4	20	9	6	21	1	5	22	22	19	23	37	50	41	43	128	103	292	719
MPC	31	0	0	0	0	0	0	7	24	46	240	201	41	0	1	1	5	17	16	2	13	7	2	4	4	5	17	14	10	22	7	8	21	22	16	24	36	36	48	64	119	84	269	745
MPC	32	0	0	0	0	0	0	5	30	41	228	183	16	1	1	5	5	16	15	3	18	19	2	5	2	11	19	11	11	16	4	9	26	19	20	23	22	70	42	51	125	103	297	697
MPC	33	16	0	0	0	0	0	11	29	51	216	188	15	0	2	1	6	9	26	2	12	15	1	4	7	9	12	12	7	19	2	8	26	27	18	23	34	56	32	67	128	115	265	698
MPC	34	0	0	0	0	0	0	13	36	52	238	239	8	0	4	3	2	21	18	3	20	14	1	5	0	10	16	11	11	17	4	13	32	20	10	37	24	66	43	64	143	100	290	692
MPC	35	95	0	0	0	0	0	9	37	74	214	241	5	0	5	2	7	25	17	3	12	17	1	6	7	6	29	8	6	10	3	15	31	18	15	34	42	51	45	68	118	110	262	697
MPC	36	84	0	0	0	0	0	9	49	73	215	230	2	0	3	4	5	25	12	1	17	15	1	6	0	4	13	16	9	12	3	7	28	20	16	34	32	63	45	58	164	98	278	703
MPC	37	0	0	0	0	0	0	9	46	93	248	229	2	1	3	2	6	23	21	4	18	16	2	6	4	5	17	16	10	18	6	9	23	19	13	37	30	58	39	52	148	88	272	658
MPC	38	0	0	0	0	0	0	7	69	97	242	211	0	0	3	5	5	27	11	7	19	14	1	9	1	8	14	5	9	13	9	14	23	18	21	40	32	50	30	62	120	104	275	713
MPC	39	0	0	0	0	0	0	10	53	109	223	223	0	2	4	4	1	24	9	2	19	8	5	9	3	10	22	10	14	14	7	4	26	35	23	37	28	60	38	73	140	119	308	682
MPC	40	4	0	0	0	0	0	14	50	128	220	221	1	2	2	3	5	22	18	3	15	9	1	4	6	6	17	6	13	19	11	12	23	14	25	46	34	54	50	69	121	81	272	621
MPC	41	0	0	0	0	0	0	14	71	120	246	272	0	1	6	3	7	29	14	3	18	15	0	7	7	9	15	9	19	10	15	10	23	24	17	45	31	63	47	56	140	111	308	646
MPC	42	0	0	0	0	0	0	11	74	136	198	191	1	0	6	8	8	21	9	7	13	20	7	4	4	14	29	7	13	10	13	11	27	29	19	50	28	74	49	65	125	107	283	598
MPC	43	43	0	0	0	0	0	19	82	142	207	213	0	1	4	9	11	26	4	1	11	17	3	4	5	7	18	10	16	21	13	14	17	23	16	48	31	67	48	80	125	94	290	592
MPC	44	0	0	0	0	0	0	32	109	202	279	287	0	0	9	17	12	32	16	5	20	24	5	7	10	17	32	7	21	24	17	14	28	34	20	32	30	70	52	55	122	111	272	630
MPC	45	0	0	0	0	0	0	21	84	197	234	230	3	3	7	12	14	24	2	8	16	13	6	3	9	11	15	10	11	18	10	10	32	24	17	54	33	92	50	70	123	134	298	579
MPC	46	18	0	0	0	0	0	30	105	174	207	173	2	3	8	9	12	20	4	4	12	14	5	15	7	10	22	2	15	19	19	14	27	22	20	45	35	71	49	82	141	126	267	572
MPC	47	81	0	0	0	0	0	16	110	204	204	203	0	1	10	6	11	20	5	10	16	17	5	6	10	13	12	3	16	17	18	7	23	21	21	43	31	65	49	83	115	132	257	561
MPC	48	0	0	0	0	0	0	40	209	437	568	573	5	7	34	50	51	134	25	32	65	65	20	52	29	42	91	26	64	46	37	33	62	67	32	89	53	112	58	99	143	130	284	572
MPC	49	30	0	0	0	0	0	20	102	195	182	159	3	1	13	9	13	8	5	2	16	15	6	7	4	7	19	3	11	11	19	16	16	23	34	53	45	103	57	76	99	127	262	516
MPC	50	150	0	0	0	0	0	24	106	209	172	122	1	2	11	10	13	16	6	10	13	14	6	10	6	7	15	3	13	10	16	15	15	32	18	38	47	89	48	87	111	130	264	501
MPC	51	0	0	0	0	0	0	36	119	218	187	115	0	0	6	10	18	5	2	3	12	16	9	6	6	20	18	5	17	15	19	13	25	32	23	48	46	104	59	93	107	143	234	497
MPC	52	0	0	0	0	0	0	32	130	244	184	98	1	3	7	6	22	10	2	11	12	15	11	12	8	16	6	8	17	15	19	13	18	28	27	44	52	130	61	87	121	137	264	466
MPC	53	0	0	0	0	0	0	39	122	236	222	134	2	0	10	21	15	8	6	6	20	16	8	12	11	22	15	9	23	12	12	15	29	30	27	51	58	105	76	91	117	138	230	466
MPC	54	0	0	0	0	0	0	38	139	244	210	86	1	0	11	8	12	11	1	10	12	7	8	3	8	22	4	9	22	9	24	19	17	30	30	49	50	115	66	111	108	138	228	432
MPC	55	12	0	0	0	0	0	27	142	266	213	84	0	1	7	13	15	5	4	11	23	19	8	5	7	12	7	4	25	17	24	24	24	28	24	57	60	117	67	92	98	157	210	446
MPC	56	0	0	0	0	0	0	32	142	280	245	69	0	5	7	16	15	8	9	9	14	12	10	3	14	16	10	5	31	8	25	17	26	41	25	51	58	134	83	124	92	143	222	408
MPC	57	0	0	0	0	0	0	41	130	250	227	60	1	3	15	14	8	5	12	5	25	14	12	8	20	19	7	6	25	12	24	22	25	34	28	41	67	146	70	120	91	137	238	430
MPC	58	0	0	0	0	0	0	42	125	239	225	41	3	8	7	13	16	3	6	5	25	8	11	4	11	7	4	18	34	14	34	24	18	28	29	44	76	161	98	92	92	145	202	371
MPC	59	0	0	0	0	0	0	49	136	274	253	42	0	2	8	9	7	5	9	8	22	8	10	9	11	13	2	4	21	5	18	18	18	41	33	47	83	181	100	121	87	167	205	387
MPC	60	0	0	0	0	0	0	40	130	285	266	24	1	3	8	23	11	5	7	9	16	10	10	7	16	16	10	7	31	14	17	20	11	46	35	54	77	182	93	110	108	155	194	358
MPC	61	0	0	0	0	0	0	66	128	284	227	15	3	7	9	10	7	2	7	6	20	13	7	8	13	8	6	8	30	7	21	22	19	54	48	58	75	182	108	109	86	179	178	292
MPC	62	0	0	0	0	0	0	67	121	277	266	10	4	5	8	15	12	5	8	5	15	10	8	7	13	10	9	10	35	9	27	28	17	50	26	71	91	218	85	128	95	168	165	290
MPC	63	2	0	0	0	0	0	58	117	273	221	8	1	5	11	15	11	5	7	10	20	10	13	7	20	13	8	10	23	6	23	28	25	38	35	63	82	237	90	131	81	175	141	311
MPC	64	29	0	0	0	0	0	71	130	312	222	6	2	6	9	14	14	4	4	8	23	9	9	8	14	14	5	11	30	12	18	24	31	37	38	65	100	247	109	143	68	165	153	253
MPC	65	38	0	0	0	0	0	73	118	286	243	1	3	5	12	10	10	1	9	9	22	11	11	6	10	12	8	10	22	9	19	19	15	47	41	65	84	252	128	136	92	161	137	241
MPC	66	64	0	0	0	0	0	67	125	325	232	4	4	6	15	19	14	10	4	9	23	10	17	5	17	15	7	13	29	10	14	30	16	51	40	78	93	279	112	135	65	166	112	211
MPC	67	57	0	0	0	0	0	72	136	341	237	0	1	8	11	21	5	4	3	10	26	12	11	7	15	14	5	13	36	14	25	38	31	54	49	49	87	273	128	139	73	168	119	200
MPC	68	55	0	0	0	0	0	93	115	377	288	0	9	15	20	18	12	6	12	11	35	14	28	8	15	19	12	13	40	17	37	40	36	50	47	74	110	318	120	143	76	184	105	180
